sigma,rho,gross_bonus
0.05,-0.9,0.0011875
0.05,-0.6,0.001
0.05,-0.3,0.0008125
0.05,0,0.000625
0.05,0.3,0.0004375
0.05,0.6,0.00025
0.05,0.9,6.25e-05
0.1,-0.9,0.00475
0.1,-0.6,0.004
0.1,-0.3,0.00325
0.1,0,0.0025
0.1,0.3,0.00175
0.1,0.6,0.001
0.1,0.9,0.00025
0.15,-0.9,0.0106875
0.15,-0.6,0.009
0.15,-0.3,0.0073125
0.15,0,0.005625
0.15,0.3,0.0039375
0.15,0.6,0.00225
0.15,0.9,0.0005625
0.2,-0.9,0.019
0.2,-0.6,0.016
0.2,-0.3,0.013
0.2,0,0.01
0.2,0.3,0.007
0.2,0.6,0.004
0.2,0.9,0.001
0.25,-0.9,0.0296875
0.25,-0.6,0.025
0.25,-0.3,0.0203125
0.25,0,0.015625
0.25,0.3,0.0109375
0.25,0.6,0.00625
0.25,0.9,0.0015625
0.3,-0.9,0.04275
0.3,-0.6,0.036
0.3,-0.3,0.02925
0.3,0,0.0225
0.3,0.3,0.01575
0.3,0.6,0.009
0.3,0.9,0.00225
0.4,-0.9,0.076
0.4,-0.6,0.064
0.4,-0.3,0.052
0.4,0,0.04
0.4,0.3,0.028
0.4,0.6,0.016
0.4,0.9,0.004
0.5,-0.9,0.11875
0.5,-0.6,0.1
0.5,-0.3,0.08125
0.5,0,0.0625
0.5,0.3,0.04375
0.5,0.6,0.025
0.5,0.9,0.00625
0.6,-0.9,0.171
0.6,-0.6,0.144
0.6,-0.3,0.117
0.6,0,0.09
0.6,0.3,0.063
0.6,0.6,0.036
0.6,0.9,0.009
