fraction,realised_log_growth,predicted_log_growth,annual_return,max_drawdown,ruined
0,0,0,0,0,False
0.01,0.0027132511,0.0026864204,0.0027169352,-0.011334269,False
0.02,0.0054046481,0.0053513713,0.0054192795,-0.022598154,False
0.03,0.0080742174,0.0079948527,0.0081069018,-0.033791659,False
0.04,0.010721984,0.010616865,0.010779671,-0.044914792,False
0.05,0.013347973,0.013217407,0.013437455,-0.055967563,False
0.06,0.015952206,0.01579648,0.016080122,-0.066949986,False
0.07,0.018534706,0.018354084,0.01870754,-0.077862078,False
0.08,0.021095494,0.020890218,0.021319576,-0.088703861,False
0.09,0.023634587,0.023404882,0.023916098,-0.099475357,False
0.1,0.026152007,0.025898077,0.026496971,-0.11017659,False
0.11,0.028647768,0.028369803,0.029062062,-0.1208076,False
0.12,0.031121888,0.030820059,0.031611238,-0.13136841,False
0.13,0.033574382,0.033248846,0.034144363,-0.14185906,False
0.14,0.036005264,0.035656163,0.036661303,-0.15227958,False
0.15,0.038414545,0.038042011,0.039161923,-0.16263003,False
0.16,0.040802238,0.040406389,0.041646087,-0.17291044,False
0.17,0.043168354,0.042749298,0.04411366,-0.18312087,False
0.18,0.0455129,0.045070737,0.046564505,-0.19326136,False
0.19,0.047835886,0.047370707,0.048998486,-0.20333197,False
0.2,0.050137318,0.049649207,0.051415465,-0.21333276,False
0.21,0.052417202,0.051906238,0.053815305,-0.22326378,False
0.22,0.054675543,0.054141799,0.056197868,-0.23312511,False
0.23,0.056912343,0.056355891,0.058563016,-0.2429168,False
0.24,0.059127606,0.058548513,0.06091061,-0.25263893,False
0.25,0.061321331,0.060719666,0.063240512,-0.26229157,False
0.26,0.063493519,0.06286935,0.06555258,-0.27187479,False
0.27,0.065644168,0.064997564,0.067846676,-0.28138867,False
0.28,0.067773276,0.067104308,0.070122658,-0.29083329,False
0.29,0.069880838,0.069189583,0.072380386,-0.30020874,False
0.3,0.071966849,0.071253389,0.074619718,-0.3095151,False
0.31,0.074031302,0.073295725,0.076840513,-0.31875246,False
0.32,0.076074191,0.075316592,0.079042626,-0.32792091,False
0.33,0.078095505,0.077315989,0.081225917,-0.33702054,False
0.34,0.080095235,0.079293916,0.08339024,-0.34605146,False
0.35,0.082073369,0.081250374,0.085535452,-0.35501377,False
0.36,0.084029893,0.083185363,0.087661407,-0.36390756,False
0.37,0.085964794,0.085098882,0.089767962,-0.37273294,False
0.38,0.087878056,0.086990932,0.091854968,-0.38149003,False
0.39,0.089769661,0.088861512,0.093922281,-0.39017892,False
0.4,0.09163959,0.090710623,0.095969753,-0.39879974,False
0.41,0.093487825,0.092538264,0.097997236,-0.4073526,False
0.42,0.095314344,0.094344436,0.10000458,-0.41583762,False
0.43,0.097119123,0.096129139,0.10199164,-0.42425492,False
0.44,0.098902139,0.097892371,0.10395826,-0.43260463,False
0.45,0.10066336,0.099634135,0.10590429,-0.44088686,False
0.46,0.10240277,0.10135443,0.10782959,-0.44910176,False
0.47,0.10412034,0.10305325,0.10973399,-0.45724945,False
0.48,0.10581602,0.10473061,0.11161735,-0.46533006,False
0.49,0.1074898,0.10638649,0.11347951,-0.47334374,False
0.5,0.10914164,0.10802091,0.11532031,-0.48129061,False
0.51,0.1107715,0.10963386,0.11713961,-0.48917083,False
0.52,0.11237934,0.11122533,0.11893724,-0.49698454,False
0.53,0.11396513,0.11279534,0.12071304,-0.50473188,False
0.54,0.11552882,0.11434388,0.12246687,-0.512413,False
0.55,0.11707038,0.11587095,0.12419855,-0.52002805,False
0.56,0.11858975,0.11737655,0.12590792,-0.52757718,False
0.57,0.1200869,0.11886068,0.12759484,-0.53506056,False
0.58,0.12156177,0.12032334,0.12925912,-0.54247834,False
0.59,0.12301431,0.12176453,0.13090061,-0.54983068,False
0.6,0.12444448,0.12318425,0.13251914,-0.55711774,False
0.61,0.12585221,0.1245825,0.13411454,-0.56433969,False
0.62,0.12723745,0.12595928,0.13568665,-0.57149669,False
0.63,0.12860014,0.1273146,0.1372353,-0.57858892,False
0.64,0.12994022,0.12864844,0.13876031,-0.58561655,False
0.65,0.13125763,0.12996081,0.14026151,-0.59257974,False
0.66,0.1325523,0.13125172,0.14173873,-0.59974979,False
0.67,0.13382417,0.13252115,0.14319179,-0.60729204,False
0.68,0.13507315,0.13376912,0.14462051,-0.61475427,False
0.69,0.13629919,0.13499561,0.14602472,-0.62213578,False
0.7,0.13750219,0.13620064,0.14740422,-0.62943592,False
0.71,0.1386821,0.1373842,0.14875885,-0.63665409,False
0.72,0.13983881,0.13854628,0.1500884,-0.64378975,False
0.73,0.14097226,0.1396869,0.1513927,-0.65084236,False
0.74,0.14208234,0.14080605,0.15267156,-0.65781147,False
0.75,0.14316898,0.14190373,0.15392477,-0.66469665,False
0.76,0.14423207,0.14297994,0.15515215,-0.67149752,False
0.77,0.14527152,0.14403468,0.1563535,-0.67821371,False
0.78,0.14628723,0.14506795,0.15752861,-0.68484495,False
0.79,0.14727909,0.14607975,0.15867729,-0.69139096,False
0.8,0.148247,0.14707008,0.15979933,-0.69785151,False
0.81,0.14919085,0.14803895,0.16089452,-0.70422644,False
0.82,0.15011051,0.14898634,0.16196264,-0.71051559,False
0.83,0.15100587,0.14991226,0.16300348,-0.71671885,False
0.84,0.1518768,0.15081672,0.16401683,-0.72283615,False
0.85,0.15272318,0.1516997,0.16500244,-0.72886747,False
0.86,0.15354487,0.15256121,0.16596011,-0.7348128,False
0.87,0.15434174,0.15340126,0.16688959,-0.74067219,False
0.88,0.15511363,0.15421984,0.16779065,-0.7464457,False
0.89,0.1558604,0.15501694,0.16866305,-0.75213344,False
0.9,0.1565819,0.15579258,0.16950654,-0.75773555,False
0.91,0.15727796,0.15654675,0.17032087,-0.76325221,False
0.92,0.15794842,0.15727944,0.17110579,-0.76868361,False
0.93,0.15859311,0.15799067,0.17186103,-0.77403,False
0.94,0.15921183,0.15868043,0.17258631,-0.77929163,False
0.95,0.15980442,0.15934872,0.17328138,-0.78446881,False
0.96,0.16037067,0.15999554,0.17394594,-0.78956185,False
0.97,0.16091038,0.16062089,0.1745797,-0.79457111,False
0.98,0.16142334,0.16122477,0.17518237,-0.79949697,False
0.99,0.16190933,0.16180718,0.17575363,-0.80433983,False
1,0.16236813,0.16236813,0.17629319,-0.80910013,False
1.01,0.16279949,0.1629076,0.1768007,-0.81377832,False
1.02,0.16320316,0.1634256,0.17727584,-0.81837488,False
1.03,0.16357889,0.16392214,0.17771826,-0.82289032,False
1.04,0.16392641,0.1643972,0.17812761,-0.82732516,False
1.05,0.16424543,0.1648508,0.17850352,-0.83167995,False
1.06,0.16453566,0.16528292,0.1788456,-0.83595527,False
1.07,0.16479678,0.16569358,0.17915346,-0.84015171,False
1.08,0.16502847,0.16608276,0.1794267,-0.84426987,False
1.09,0.1652304,0.16645048,0.17966488,-0.84831039,False
1.1,0.1654022,0.16679673,0.17986756,-0.85227392,False
1.11,0.1655435,0.16712151,0.18003429,-0.85616112,False
1.12,0.1656539,0.16742481,0.18016458,-0.85997268,False
1.13,0.16573299,0.16770665,0.18025792,-0.86370929,False
1.14,0.16578034,0.16796702,0.1803138,-0.86737167,False
1.15,0.16579547,0.16820592,0.18033167,-0.87096054,False
1.16,0.16577791,0.16842335,0.18031094,-0.87447667,False
1.17,0.16572714,0.16861931,0.18025101,-0.87792078,False
1.18,0.1656426,0.16879381,0.18015124,-0.88129367,False
1.19,0.16552374,0.16894683,0.18001097,-0.88468419,False
1.2,0.16536992,0.16907838,0.17982948,-0.88860213,False
1.21,0.1651805,0.16918846,0.17960602,-0.89245243,False
1.22,0.16495479,0.16927708,0.1793398,-0.89623539,False
1.23,0.16469204,0.16934422,0.17902997,-0.89995133,False
1.24,0.16439146,0.1693899,0.17867563,-0.90360058,False
1.25,0.16405221,0.1694141,0.17827583,-0.90718346,False
1.26,0.16367337,0.16941684,0.17782954,-0.91070034,False
1.27,0.16325398,0.1693981,0.17733567,-0.91415157,False
1.28,0.16279298,0.1693579,0.17679305,-0.91753752,False
1.29,0.16228924,0.16929623,0.17620039,-0.92085859,False
1.3,0.16174153,0.16921309,0.17555636,-0.92411517,False
1.31,0.16114852,0.16910847,0.17485945,-0.92730767,False
1.32,0.16050878,0.16898239,0.17410808,-0.93043651,False
1.33,0.15982071,0.16883484,0.17330049,-0.93350212,False
1.34,0.15908261,0.16866582,0.1724348,-0.93650493,False
1.35,0.15829258,0.16847533,0.1715089,-0.93944541,False
1.36,0.15744854,0.16826337,0.17052052,-0.94232401,False
1.37,0.1565482,0.16802995,0.16946713,-0.94514119,False
1.38,0.15558901,0.16777505,0.16834592,-0.94789745,False
1.39,0.15456813,0.16749868,0.16715379,-0.95059327,False
1.4,0.1534824,0.16720084,0.16588726,-0.95322915,False
1.41,0.15232824,0.16688154,0.16454243,-0.9558056,False
1.42,0.15110165,0.16654076,0.16311488,-0.95832312,False
