window_start,window_end,policy,estimated_kelly,applied_fraction,realised_log_growth,annual_return,max_drawdown,ruined
1985-12-10,1986-12-08,full Kelly,0.22880059,0.22880059,0.19374641,0.21378844,-0.028130333,False
1985-12-10,1986-12-08,half Kelly,0.22880059,0.11440029,0.097991552,0.10295347,-0.014089253,False
1985-12-10,1986-12-08,fixed 0.50,0.22880059,0.5,0.41218856,0.51011916,-0.061223912,False
1985-12-10,1986-12-08,fixed 1.00,0.22880059,1,0.78552057,1.1935485,-0.12152761,False
1986-12-09,1987-12-07,full Kelly,1.1431776,1.1431776,0.48077246,0.61732324,-0.45527291,False
1986-12-09,1987-12-07,half Kelly,1.1431776,0.57158881,0.29445659,0.34239668,-0.24099607,False
1986-12-09,1987-12-07,fixed 0.50,1.1431776,0.5,0.26325773,0.30116203,-0.21227612,False
1986-12-09,1987-12-07,fixed 1.00,1.1431776,1,0.44513962,0.56070809,-0.40410678,False
1987-12-08,1988-12-05,full Kelly,1.0736469,1.0736469,0.19462461,0.21485486,-0.20857741,False
1987-12-08,1988-12-05,half Kelly,1.0736469,0.53682347,0.12561375,0.13384414,-0.103686,False
1987-12-08,1988-12-05,fixed 0.50,1.0736469,0.5,0.11889216,0.12624846,-0.096512455,False
1987-12-08,1988-12-05,fixed 1.00,1.0736469,1,0.1882653,0.20715373,-0.19418903,False
1988-12-06,1989-12-04,full Kelly,1.6407664,1.6407664,0.20088818,0.22248807,-0.24213038,False
1988-12-06,1989-12-04,half Kelly,1.6407664,0.82038318,0.12489004,0.13302385,-0.12520669,False
1988-12-06,1989-12-04,fixed 0.50,1.6407664,0.5,0.08201717,0.085474447,-0.077295626,False
1988-12-06,1989-12-04,fixed 1.00,1.6407664,1,0.14567196,0.15681664,-0.15151449,False
1989-12-05,1990-12-03,full Kelly,1.6991561,1.6991561,-0.44126045,-0.35677484,-0.59083434,False
1989-12-05,1990-12-03,half Kelly,1.6991561,0.84957805,-0.11821851,-0.11149811,-0.32624237,False
1989-12-05,1990-12-03,fixed 0.50,1.6991561,0.5,-0.047268188,-0.046168443,-0.19976126,False
1989-12-05,1990-12-03,fixed 1.00,1.6991561,1,-0.15898064,-0.14698713,-0.37743362,False
1990-12-04,1991-12-02,full Kelly,1.8803956,1.8803956,0.2899259,0.33632846,-0.68247007,False
1990-12-04,1991-12-02,half Kelly,1.8803956,0.94019782,0.30482267,0.35638445,-0.37372406,False
1990-12-04,1991-12-02,fixed 0.50,1.8803956,0.5,0.19503047,0.21534801,-0.20677717,False
1990-12-04,1991-12-02,fixed 1.00,1.8803956,1,0.31488163,0.37009713,-0.39530755,False
1991-12-03,1992-11-30,full Kelly,1.3628457,1.3628457,0.13109839,0.14007995,-0.41131617,False
1991-12-03,1992-11-30,half Kelly,1.3628457,0.68142285,0.088522705,0.092559059,-0.22543453,False
1991-12-03,1992-11-30,fixed 0.50,1.3628457,0.5,0.069518082,0.071991445,-0.16949329,False
1991-12-03,1992-11-30,fixed 1.00,1.3628457,1,0.11406038,0.1208198,-0.31694755,False
1992-12-01,1993-11-29,full Kelly,1.2697284,1.2697284,-0.80922467,-0.55479689,-0.7013919,False
1992-12-01,1993-11-29,half Kelly,1.2697284,0.63486421,-0.32662407,-0.27864513,-0.41693054,False
