date,AAPL,AMZN
1997-05-15,0.55027598,1.9583334
1997-05-16,0.53477502,1.7291666
1997-05-19,0.52702481,1.7083334
1997-05-20,0.53477502,1.6354166
1997-05-21,0.52314955,1.4270834
1997-05-22,0.51539922,1.3958334
1997-05-23,0.52314955,1.5
1997-05-27,0.53477502,1.5833334
1997-05-28,0.52702481,1.53125
1997-05-29,0.51539922,1.5052084
1997-05-30,0.51539922,1.5
1997-06-02,0.52508718,1.5104166
1997-06-03,0.51733696,1.4791666
1997-06-04,0.51539922,1.4166666
1997-06-05,0.51733696,1.5416666
1997-06-06,0.51927441,1.65625
1997-06-09,0.51539922,1.6875
1997-06-10,0.50377363,1.5833334
1997-06-11,0.50571132,1.5416666
1997-06-12,0.49796101,1.6041666
1997-06-13,0.49021053,1.5833334
1997-06-16,0.48052251,1.5729166
1997-06-17,0.50668013,1.5052084
1997-06-18,0.49408597,1.5104166
1997-06-19,0.48827279,1.5104166
1997-06-20,0.48246011,1.5260416
1997-06-23,0.47664747,1.5
1997-06-24,0.47470984,1.5104166
1997-06-25,0.46889704,1.5104166
1997-06-26,0.45533392,1.5104166
1997-06-27,0.45533392,1.4895834
1997-06-30,0.44177091,1.5416666
1997-07-01,0.40883172,1.515625
1997-07-02,0.40495661,1.5885416
1997-07-03,0.42433241,1.9114584
1997-07-07,0.42820761,2
1997-07-08,0.42627001,2.3020833
1997-07-09,0.42433241,2.3229167
1997-07-10,0.41076928,2.5625
1997-07-11,0.47083449,2.2916667
1997-07-14,0.48439783,2.1354167
1997-07-15,0.49408597,2.4375
1997-07-16,0.50958651,2.3333333
1997-07-17,0.54252553,2.21875
1997-07-18,0.53768146,2.15625
1997-07-21,0.50086731,2.1822917
1997-07-22,0.51346171,2.1354167
1997-07-23,0.49989852,2.2916667
1997-07-24,0.49021053,2.2604167
1997-07-25,0.50377363,2.2291667
1997-07-28,0.50958651,2.3229167
1997-07-29,0.51152402,2.4791667
1997-07-30,0.53865027,2.4479167
1997-07-31,0.54252553,2.3958333
1997-08-01,0.59484041,2.4166667
1997-08-04,0.61227876,2.3125
1997-08-05,0.61227876,2.2083333
1997-08-06,0.81572574,2.25
1997-08-07,0.90485519,2.1770833
1997-08-08,0.83122647,2.2916667
1997-08-11,0.76147342,2.328125
1997-08-12,0.68396991,2.1979167
1997-08-13,0.73240948,2.1979167
1997-08-14,0.7130335,2.15625
1997-08-15,0.72078389,2.1145833
1997-08-18,0.73240948,2.0416667
1997-08-19,0.75759816,2.1666667
1997-08-20,0.76341099,2.1666667
1997-08-21,0.74403501,2.1145833
1997-08-22,0.73240948,2.125
1997-08-25,0.71497118,2.21875
1997-08-26,0.68978244,2.34375
1997-08-27,0.70334548,2.3177083
1997-08-28,0.68203217,2.375
1997-08-29,0.6742819,2.3385417
1997-09-02,0.6936577,2.3541667
1997-09-03,0.69753289,2.3333333
1997-09-04,0.69753289,2.5520833
1997-09-05,0.68784487,2.5
1997-09-08,0.66653138,3
1997-09-09,0.67621928,3.2395833
1997-09-10,0.71109569,3.3020833
1997-09-11,0.6936577,3.15625
1997-09-12,0.68396991,3.6875
