policy,rebalance_interval,band_width,cost_bps,cagr,buy_hold_cagr,advantage,weighted_asset_cagr,bonus_vs_weighted_asset,annual_turnover,max_drawdown,annual_volatility
daily,1,0,0,0.39366903,0.33259871,0.061070325,0.32806151,0.065607528,3.0260036,-0.82540881,0.41917875
daily,1,0,5,0.39156199,0.33259871,0.058963279,0.32806151,0.063500482,3.0260036,-0.82642477,0.41915904
daily,1,0,10,0.38945809,0.33259871,0.056859385,0.32806151,0.061396588,3.0260036,-0.82743484,0.41913936
daily,1,0,25,0.38316528,0.33259871,0.05056657,0.32806151,0.055103773,3.0260036,-0.83043008,0.41908055
daily,1,0,50,0.37273987,0.33259871,0.040141156,0.32806151,0.044678359,3.0260036,-0.83530754,0.41898324
weekly,5,0,0,0.39492881,0.33259871,0.062330101,0.32806151,0.066867304,1.4767854,-0.83227941,0.41957537
weekly,5,0,5,0.39389917,0.33259871,0.061300459,0.32806151,0.065837662,1.4767854,-0.83273315,0.41957014
weekly,5,0,10,0.39287025,0.33259871,0.060271543,0.32806151,0.064808747,1.4767854,-0.83318569,0.41956496
weekly,5,0,25,0.38978786,0.33259871,0.057189148,0.32806151,0.061726351,1.4767854,-0.83453611,0.41954974
weekly,5,0,50,0.38466501,0.33259871,0.052066298,0.32806151,0.056603501,1.4767854,-0.83676299,0.41952547
monthly,21,0,0,0.38294794,0.33259871,0.050349232,0.32806151,0.054886435,0.70290125,-0.84676444,0.42005574
monthly,21,0,5,0.38246198,0.33259871,0.049863266,0.32806151,0.054400469,0.70290125,-0.8469379,0.42005971
monthly,21,0,10,0.38197615,0.33259871,0.049377443,0.32806151,0.053914646,0.70290125,-0.84711118,0.42006373
monthly,21,0,25,0.38051954,0.33259871,0.047920833,0.32806151,0.052458036,0.70290125,-0.84762991,0.42007606
monthly,21,0,50,0.37809472,0.33259871,0.045496011,0.32806151,0.050033214,0.70290125,-0.84849083,0.42009752
quarterly,63,0,0,0.37868805,0.33259871,0.046089338,0.32806151,0.050626542,0.39137883,-0.84416366,0.42550108
quarterly,63,0,5,0.37841827,0.33259871,0.045819558,0.32806151,0.050356761,0.39137883,-0.84426141,0.42550543
quarterly,63,0,10,0.37814851,0.33259871,0.045549805,0.32806151,0.050087008,0.39137883,-0.84435911,0.42550982
quarterly,63,0,25,0.37733943,0.33259871,0.044740716,0.32806151,0.049277919,0.39137883,-0.84465194,0.42552323
quarterly,63,0,50,0.3759915,0.33259871,0.043392796,0.32806151,0.047929999,0.39137883,-0.84513903,0.42554639
semiannual,126,0,0,0.37979456,0.33259871,0.047195851,0.32806151,0.051733054,0.29846136,-0.84792454,0.42792659
semiannual,126,0,5,0.37958866,0.33259871,0.046989946,0.32806151,0.051527149,0.29846136,-0.84798763,0.42792747
semiannual,126,0,10,0.37938276,0.33259871,0.046784048,0.32806151,0.051321251,0.29846136,-0.84805071,0.4279284
semiannual,126,0,25,0.3787651,0.33259871,0.046166387,0.32806151,0.05070359,0.29846136,-0.84823986,0.42793143
semiannual,126,0,50,0.37773578,0.33259871,0.045137072,0.32806151,0.049674275,0.29846136,-0.84855479,0.42793731
annual,252,0,0,0.39324538,0.33259871,0.060646667,0.32806151,0.06518387,0.22029173,-0.86098503,0.43785503
annual,252,0,5,0.39309191,0.33259871,0.060493202,0.32806151,0.065030405,0.22029173,-0.86103947,0.43785547
annual,252,0,10,0.39293843,0.33259871,0.060339725,0.32806151,0.064876928,0.22029173,-0.8610939,0.43785595
annual,252,0,25,0.39247794,0.33259871,0.059879227,0.32806151,0.06441643,0.22029173,-0.86125712,0.43785767
annual,252,0,50,0.39171022,0.33259871,0.059111509,0.32806151,0.063648712,0.22029173,-0.86152896,0.43786147
band 1%,1,0.01,0,0.3929741,0.33259871,0.060375388,0.32806151,0.064912591,2.0435218,-0.82679184,0.41912216
band 1%,1,0.01,5,0.39155152,0.33259871,0.058952811,0.32806151,0.063490014,2.0435218,-0.82764599,0.41910213
band 1%,1,0.01,10,0.39013036,0.33259871,0.057531655,0.32806151,0.062068858,2.0435218,-0.82849594,0.41908216
band 1%,1,0.01,25,0.3858754,0.33259871,0.053276691,0.32806151,0.057813894,2.0435218,-0.83102089,0.41902251
band 1%,1,0.01,50,0.37881206,0.33259871,0.046213351,0.32806151,0.050750555,2.0435218,-0.83514728,0.41892403
band 2%,1,0.02,0,0.39331134,0.33259871,0.060712627,0.32806151,0.06524983,1.4351922,-0.83009183,0.4192474
band 2%,1,0.02,5,0.39231184,0.33259871,0.059713134,0.32806151,0.064250337,1.4351922,-0.83068801,0.41923325
band 2%,1,0.02,10,0.39131303,0.33259871,0.058714325,0.32806151,0.063251528,1.4351922,-0.83128212,0.41921915
band 2%,1,0.02,25,0.38832071,0.33259871,0.055721996,0.32806151,0.060259199,1.4351922,-0.8330521,0.41917716
