window_start,window_end,policy,cost_bps,cagr,buy_hold_cagr,advantage,annual_turnover
1997-05-16,2007-05-23,quarterly,5,0.4991954,0.4066864,0.092509007,0.55650991
1997-05-16,2007-05-23,band 5%,5,0.53962032,0.4066864,0.13293392,1.3583492
1997-06-17,2007-06-22,quarterly,5,0.57902881,0.43781655,0.14121225,0.66650801
1997-06-17,2007-06-22,band 5%,5,0.572189,0.43781655,0.13437244,1.3360134
1997-07-17,2007-07-24,quarterly,5,0.5170083,0.41087144,0.10613686,0.56392258
1997-07-17,2007-07-24,band 5%,5,0.5392126,0.41087144,0.12834116,1.2988908
1997-08-15,2007-08-22,quarterly,5,0.49377362,0.40382486,0.089948768,0.54994875
1997-08-15,2007-08-22,band 5%,5,0.52633639,0.40382486,0.12251154,1.2689566
1997-09-16,2007-09-21,quarterly,5,0.53317821,0.39627431,0.1369039,0.65538387
1997-09-16,2007-09-21,band 5%,5,0.51912629,0.39627431,0.12285198,1.2582614
1997-10-15,2007-10-22,quarterly,5,0.49188349,0.3895712,0.10231229,0.55436828
1997-10-15,2007-10-22,band 5%,5,0.51053821,0.3895712,0.12096701,1.2588241
1997-11-13,2007-11-20,quarterly,5,0.48039117,0.4042692,0.076121969,0.52176991
1997-11-13,2007-11-20,band 5%,5,0.51554643,0.4042692,0.11127723,1.2145462
1997-12-15,2007-12-20,quarterly,5,0.54476222,0.43286462,0.1118976,0.63060119
1997-12-15,2007-12-20,band 5%,5,0.53321247,0.43286462,0.10034785,1.1920269
1998-01-15,2008-01-23,quarterly,5,0.45288667,0.36014528,0.092741389,0.53823535
1998-01-15,2008-01-23,band 5%,5,0.46736405,0.36014528,0.10721877,1.1962428
1998-02-17,2008-02-22,quarterly,5,0.41715882,0.34378448,0.073374345,0.5227105
1998-02-17,2008-02-22,band 5%,5,0.44773395,0.34378448,0.10394948,1.1453794
1998-03-18,2008-03-25,quarterly,5,0.43402471,0.32236372,0.11166099,0.62346083
1998-03-18,2008-03-25,band 5%,5,0.42405294,0.32236372,0.10168923,1.1718926
1998-04-17,2008-04-23,quarterly,5,0.40658809,0.32208274,0.084505344,0.53411836
1998-04-17,2008-04-23,band 5%,5,0.4181746,0.32208274,0.096091858,1.1619749
1998-05-18,2008-05-22,quarterly,5,0.39810287,0.32973388,0.068368993,0.53494511
1998-05-18,2008-05-22,band 5%,5,0.4279034,0.32973388,0.098169517,1.1926457
1998-06-17,2008-06-23,quarterly,5,0.40096748,0.3166435,0.084323981,0.60333422
1998-06-17,2008-06-23,band 5%,5,0.39235545,0.3166435,0.075711948,1.1250768
1998-07-17,2008-07-23,quarterly,5,0.31849156,0.26787119,0.050620377,0.51457602
1998-07-17,2008-07-23,band 5%,5,0.33086691,0.26787119,0.062995729,1.1377824
1998-08-17,2008-08-21,quarterly,5,0.30323903,0.26678066,0.036458373,0.5048704
1998-08-17,2008-08-21,band 5%,5,0.33371601,0.26678066,0.066935347,1.1258365
1998-09-16,2008-09-22,quarterly,5,0.35487043,0.25820368,0.096666749,0.59772589
1998-09-16,2008-09-22,band 5%,5,0.34469294,0.25820368,0.086489262,1.1028972
1998-10-15,2008-10-21,quarterly,5,0.27102861,0.20598261,0.065045997,0.51795112
1998-10-15,2008-10-21,band 5%,5,0.27889318,0.20598261,0.072910563,1.0910335
1998-11-13,2008-11-19,quarterly,5,0.21237423,0.19415444,0.018219786,0.49991167
1998-11-13,2008-11-19,band 5%,5,0.23762295,0.19415444,0.043468503,1.0695233
1998-12-15,2008-12-19,quarterly,5,0.22089654,0.20082499,0.020071556,0.54151772
1998-12-15,2008-12-19,band 5%,5,0.23004867,0.20082499,0.02922368,1.0410486
1999-01-15,2009-01-22,quarterly,5,0.14573333,0.16570005,-0.019966724,0.45940409
1999-01-15,2009-01-22,band 5%,5,0.17195254,0.16570005,0.0062524936,1.0086633
1999-02-17,2009-02-23,quarterly,5,0.18654646,0.17843181,0.0081146465,0.4926468
1999-02-17,2009-02-23,band 5%,5,0.20796885,0.17843181,0.029537042,1.0000839
1999-03-18,2009-03-24,quarterly,5,0.21097567,0.21145811,-0.00048244136,0.52476126
1999-03-18,2009-03-24,band 5%,5,0.21783217,0.21145811,0.0063740641,0.97292994
1999-04-19,2009-04-23,quarterly,5,0.18136567,0.22324902,-0.041883349,0.44253278
1999-04-19,2009-04-23,band 5%,5,0.2089726,0.22324902,-0.014276423,0.9675119
1999-05-18,2009-05-22,quarterly,5,0.19025486,0.19763405,-0.0073791937,0.49030897
1999-05-18,2009-05-22,band 5%,5,0.20730612,0.19763405,0.0096720638,0.94032052
1999-06-17,2009-06-23,quarterly,5,0.21443901,0.20182488,0.012614136,0.5084459
1999-06-17,2009-06-23,band 5%,5,0.22121657,0.20182488,0.019391692,0.92610997
1999-07-19,2009-07-23,quarterly,5,0.19167669,0.20824448,-0.016567791,0.41161997
1999-07-19,2009-07-23,band 5%,5,0.22466415,0.20824448,0.016419668,0.94604372
1999-08-17,2009-08-21,quarterly,5,0.21274262,0.20507507,0.0076675528,0.46935617
1999-08-17,2009-08-21,band 5%,5,0.2347601,0.20507507,0.029685038,0.9344665
1999-09-16,2009-09-22,quarterly,5,0.20704034,0.18821756,0.018822774,0.50051249
1999-09-16,2009-09-22,band 5%,5,0.21279588,0.18821756,0.024578317,0.90869436
1999-10-15,2009-10-21,quarterly,5,0.17976673,0.1999027,-0.020135971,0.41606305
1999-10-15,2009-10-21,band 5%,5,0.20681152,0.1999027,0.0069088271,0.87478662
1999-11-15,2009-11-19,quarterly,5,0.19924076,0.1811641,0.018076665,0.48078624
1999-11-15,2009-11-19,band 5%,5,0.21838461,0.1811641,0.037220513,0.91782539
1999-12-15,2009-12-21,quarterly,5,0.19658708,0.17160288,0.024984196,0.50688384
1999-12-15,2009-12-21,band 5%,5,0.20106855,0.17160288,0.029465672,0.90526217
2000-01-14,2010-01-22,quarterly,5,0.18590605,0.17482201,0.011084045,0.40789585
2000-01-14,2010-01-22,band 5%,5,0.21241951,0.17482201,0.0375975,0.8594019
2000-02-15,2010-02-23,quarterly,5,0.17751612,0.15405779,0.023458326,0.47216143
2000-02-15,2010-02-23,band 5%,5,0.19297055,0.15405779,0.038912757,0.85878021
2000-03-16,2010-03-24,quarterly,5,0.21036981,0.17344813,0.036921673,0.48644892
2000-03-16,2010-03-24,band 5%,5,0.21333783,0.17344813,0.039889698,0.82554598
2000-04-14,2010-04-23,quarterly,5,0.22116507,0.20122774,0.019937324,0.39166584
2000-04-14,2010-04-23,band 5%,5,0.24854739,0.20122774,0.047319648,0.81249203
2000-05-16,2010-05-24,quarterly,5,0.21879494,0.19574141,0.02305353,0.47402292
2000-05-16,2010-05-24,band 5%,5,0.23072309,0.19574141,0.034981686,0.81598754
2000-06-15,2010-06-23,quarterly,5,0.25302176,0.21992425,0.03309751,0.49409295
2000-06-15,2010-06-23,band 5%,5,0.25434627,0.21992425,0.034422024,0.81215532
2000-07-17,2010-07-23,quarterly,5,0.21361547,0.19422986,0.019385609,0.39245065
2000-07-17,2010-07-23,band 5%,5,0.23612981,0.19422986,0.041899949,0.78419834
2000-08-15,2010-08-23,quarterly,5,0.25198367,0.21547008,0.036513585,0.45607971
2000-08-15,2010-08-23,band 5%,5,0.26039034,0.21547008,0.044920256,0.76386094
2000-09-14,2010-09-22,quarterly,5,0.25946802,0.2104054,0.049062618,0.48544384
2000-09-14,2010-09-22,band 5%,5,0.25654184,0.2104054,0.04613644,0.76442301
2000-10-13,2010-10-21,quarterly,5,0.34303928,0.34066703,0.0023722496,0.37416307
2000-10-13,2010-10-21,band 5%,5,0.36039142,0.34066703,0.019724393,0.71124595
2000-11-13,2010-11-19,quarterly,5,0.3426933,0.3411883,0.001505004,0.42213313
2000-11-13,2010-11-19,band 5%,5,0.34968266,0.3411883,0.0084943562,0.69761308
2000-12-13,2010-12-21,quarterly,5,0.38992077,0.37782053,0.012100238,0.44989518
2000-12-13,2010-12-21,band 5%,5,0.38575991,0.37782053,0.0079393802,0.68839358
2001-01-16,2011-01-21,quarterly,5,0.38530062,0.3742494,0.01105122,0.36515699
2001-01-16,2011-01-21,band 5%,5,0.39994628,0.3742494,0.025696878,0.66392551
2001-02-14,2011-02-22,quarterly,5,0.39876341,0.3756233,0.023140118,0.3851821
2001-02-14,2011-02-22,band 5%,5,0.41132024,0.3756233,0.035696942,0.63756962
2001-03-16,2011-03-23,quarterly,5,0.40844099,0.37878644,0.029654552,0.40711859
2001-03-16,2011-03-23,band 5%,5,0.41855012,0.37878644,0.039763683,0.62446536
2001-04-17,2011-04-21,quarterly,5,0.39068557,0.36816601,0.02251956,0.34410863
2001-04-17,2011-04-21,band 5%,5,0.40206631,0.36816601,0.0339003,0.5820978
2001-05-16,2011-05-23,quarterly,5,0.39082366,0.36016074,0.030662917,0.37965434
2001-05-16,2011-05-23,band 5%,5,0.39928137,0.36016074,0.039120631,0.57831744
2001-06-15,2011-06-22,quarterly,5,0.4005733,0.37085333,0.029719966,0.40746453
2001-06-15,2011-06-22,band 5%,5,0.40821965,0.37085333,0.037366321,0.58398592
2001-07-17,2011-07-22,quarterly,5,0.39237404,0.36932175,0.023052286,0.34495833
2001-07-17,2011-07-22,band 5%,5,0.40242154,0.36932175,0.033099791,0.56163253
