date,strategy,wealth
1997-05-16,buy and hold,0.92740463
1997-05-19,buy and hold,0.91504338
1997-05-20,buy and hold,0.90346846
1997-05-21,buy and hold,0.83971368
1997-05-22,buy and hold,0.82469273
1997-05-23,buy and hold,0.85833069
1997-05-27,buy and hold,0.8901706
1997-05-28,buy and hold,0.86983061
1997-05-29,buy and hold,0.85261827
1997-05-30,buy and hold,0.85128847
1997-06-02,buy and hold,0.86275085
1997-06-03,buy and hold,0.84773001
1997-06-04,buy and hold,0.83001186
1997-06-05,buy and hold,0.86368746
1997-06-06,buy and hold,0.89470322
1997-06-09,buy and hold,0.89916081
1997-06-10,buy and hold,0.86200166
1997-06-11,buy and hold,0.85312399
1997-06-12,buy and hold,0.86203924
1997-06-13,buy and hold,0.84967775
1997-06-16,buy and hold,0.83821529
1997-06-17,buy and hold,0.8446958
1997-06-18,buy and hold,0.83458207
1997-06-19,buy and hold,0.82930001
1997-06-20,buy and hold,0.82800777
1997-06-23,buy and hold,0.81607727
1997-06-24,buy and hold,0.81697624
1997-06-25,buy and hold,0.81169453
1997-06-26,buy and hold,0.7993706
1997-06-27,buy and hold,0.79405147
1997-06-30,buy and hold,0.7950255
1997-07-01,buy and hold,0.75844687
1997-07-02,buy and hold,0.77354282
1997-07-03,buy and hold,0.87359518
1997-07-07,buy and hold,0.89972269
1997-07-08,buy and hold,0.97508976
1997-07-09,buy and hold,0.97864838
1997-07-10,buy and hold,1.0274946
1997-07-11,buy and hold,1.0129231
1997-07-14,buy and hold,0.98535358
1997-07-15,buy and hold,1.0712842
1997-07-16,buy and hold,1.0587728
1997-07-17,buy and hold,1.059447
1997-07-18,buy and hold,1.0390881
1997-07-21,buy and hold,1.0122864
1997-07-22,buy and hold,1.011762
1997-07-23,buy and hold,1.0393317
1997-07-24,buy and hold,1.0225501
1997-07-25,buy and hold,1.0268953
1997-07-28,buy and hold,1.0561132
1997-07-29,buy and hold,1.0977673
1997-07-30,buy and hold,1.1144365
1997-07-31,buy and hold,1.1046598
1997-08-01,buy and hold,1.1575141
1997-08-04,buy and hold,1.1467634
1997-08-05,buy and hold,1.1201676
1997-08-06,buy and hold,1.315665
1997-08-07,buy and hold,1.3780341
1997-08-08,buy and hold,1.3403878
1997-08-11,buy and hold,1.2863163
1997-08-12,buy and hold,1.1826492
1997-08-13,buy and hold,1.2266631
1997-08-14,buy and hold,1.1984191
1997-08-15,buy and hold,1.194823
1997-08-18,buy and hold,1.1867695
1997-08-19,buy and hold,1.2415717
1997-08-20,buy and hold,1.2468534
1997-08-21,buy and hold,1.2159498
1997-08-22,buy and hold,1.208046
1997-08-25,buy and hold,1.2161372
1997-08-26,buy and hold,1.2251647
