fraction,log_growth,return_per_period
0,0,0
0.0025,0.00062304915,0.00062324328
0.005,0.0012422056,0.0012429775
0.0075,0.001857483,0.0018592092
0.01,0.0024688945,0.0024719447
0.0125,0.0030764535,0.0030811906
0.015,0.003680173,0.0036869532
0.0175,0.0042800662,0.0042892387
0.02,0.0048761457,0.0048880535
0.0225,0.0054684245,0.0054834036
0.025,0.0060569152,0.0060752954
0.0275,0.0066416303,0.0066637348
0.03,0.0072225822,0.007248728
0.0325,0.0077997833,0.0078302809
0.035,0.0083732457,0.0084083994
0.0375,0.0089429816,0.0089830896
0.04,0.0095090029,0.0095543571
0.0425,0.010071322,0.010122208
0.045,0.010629949,0.010686648
0.0475,0.011184897,0.011247682
0.05,0.011736178,0.011805317
0.0525,0.012283802,0.012359558
0.055,0.012827782,0.012910411
0.0575,0.013368127,0.01345788
0.06,0.01390485,0.014001972
0.0625,0.014437962,0.014542693
0.065,0.014967473,0.015080046
0.0675,0.015493394,0.015614038
0.07,0.016015735,0.016144675
0.0725,0.016534509,0.01667196
0.075,0.017049724,0.017195901
0.0775,0.017561392,0.0177165
0.08,0.018069523,0.018233765
0.0825,0.018574127,0.018747699
0.085,0.019075215,0.019258309
0.0875,0.019572795,0.019765598
0.09,0.020066879,0.020269572
0.0925,0.020557476,0.020770236
0.095,0.021044596,0.021267595
0.0975,0.021528248,0.021761653
0.1,0.022008443,0.022252415
0.1025,0.022485189,0.022739886
0.105,0.022958496,0.023224071
0.1075,0.023428374,0.023704975
0.11,0.023894832,0.024182601
0.1125,0.024357878,0.024656955
0.115,0.024817523,0.025128041
0.1175,0.025273774,0.025595863
0.12,0.025726641,0.026060427
0.1225,0.026176132,0.026521736
0.125,0.026622257,0.026979795
0.1275,0.027065024,0.027434609
0.13,0.027504442,0.02788618
0.1325,0.027940518,0.028334515
0.135,0.028373262,0.028779617
0.1375,0.028802681,0.02922149
0.14,0.029228785,0.029660138
0.1425,0.02965158,0.030095566
0.145,0.030071076,0.030527777
0.1475,0.03048728,0.030956776
0.15,0.0309002,0.031382567
