path,period,strategy,wealth
0,0,rebalanced,1
0,1,rebalanced,0.75
0,2,rebalanced,1.125
0,3,rebalanced,1.6875
0,4,rebalanced,1.265625
0,5,rebalanced,0.94921875
0,6,rebalanced,1.4238281
0,7,rebalanced,1.0678711
0,8,rebalanced,0.80090332
0,9,rebalanced,1.201355
0,10,rebalanced,0.90101624
0,11,rebalanced,1.3515244
0,12,rebalanced,1.0136433
0,13,rebalanced,1.5204649
0,14,rebalanced,1.1403487
0,15,rebalanced,1.710523
0,16,rebalanced,2.5657845
0,17,rebalanced,1.9243384
0,18,rebalanced,1.4432538
0,19,rebalanced,1.0824403
0,20,rebalanced,1.6236605
0,21,rebalanced,2.4354908
0,22,rebalanced,1.8266181
0,23,rebalanced,1.3699636
0,24,rebalanced,1.0274727
0,25,rebalanced,0.7706045
0,26,rebalanced,0.57795338
0,27,rebalanced,0.43346503
0,28,rebalanced,0.32509877
0,29,rebalanced,0.48764816
0,30,rebalanced,0.36573612
0,31,rebalanced,0.27430209
0,32,rebalanced,0.41145314
0,33,rebalanced,0.30858985
0,34,rebalanced,0.46288478
0,35,rebalanced,0.69432717
0,36,rebalanced,1.0414907
0,37,rebalanced,0.78111806
0,38,rebalanced,1.1716771
0,39,rebalanced,1.7575156
0,40,rebalanced,2.6362735
0,41,rebalanced,3.9544102
0,42,rebalanced,2.9658076
0,43,rebalanced,2.2243557
0,44,rebalanced,1.6682668
0,45,rebalanced,2.5024002
0,46,rebalanced,1.8768001
0,47,rebalanced,2.8152002
0,48,rebalanced,4.2228003
0,49,rebalanced,3.1671003
0,50,rebalanced,2.3753252
0,51,rebalanced,3.5629878
0,52,rebalanced,5.3444817
0,53,rebalanced,8.0167225
0,54,rebalanced,6.0125419
0,55,rebalanced,9.0188128
0,56,rebalanced,6.7641096
0,57,rebalanced,10.146164
0,58,rebalanced,15.219247
0,59,rebalanced,11.414435
0,60,rebalanced,17.121652
0,61,rebalanced,12.841239
0,62,rebalanced,9.6309295
0,63,rebalanced,14.446394
0,64,rebalanced,21.669591
0,65,rebalanced,32.504387
0,66,rebalanced,24.37829
